brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,source,thumb,type,url
Danby,,https://www.danby.com/en-us/products/freezers-en-us/dufm082a1wdd/?o=pdf,,DUFM082A1WDD,,Freezers,en,Refrigeration,danby.com,https://www.danby.com/wp-content/uploads/2016/04/Large_DUFM082A1WDD_insetting4-606x758.jpg,Product Specifications,https://www.danby.com/en-us/products/freezers-en-us/dufm082a1wdd/
Danby,,https://www.danby.com/wp-content/uploads/2015/10/DTT100A1WDB-EFSOM-V3-DM-May.16.13.pdf,,DTT100A1WDB,,Washing Machine,en,Laundry,danby.com,https://www.danby.com/wp-content/uploads/2016/04/Large_DTT100A1WDB_right3-606x758.jpg,Owner's Manual,https://www.danby.com/en-us/products/laundry-en-us/dtt100a1wdb/
Danby,,https://www.danby.com/en-us/products/laundry-en-us/dtt100a1wdb/?o=pdf,,DTT100A1WDB,,Washing Machine,en,Laundry,danby.com,https://www.danby.com/wp-content/uploads/2016/04/Large_DTT100A1WDB_right3-606x758.jpg,Product Specifications,https://www.danby.com/en-us/products/laundry-en-us/dtt100a1wdb/
Danby,,https://www.danby.com/wp-content/uploads/2016/03/DWC93BLSDB_DWC93BLSDB-3_DWC93BLSDBR1_EFSOM_20180615.pdf,,DWC93BLSDB,,Wine Cooler,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc93blsdb_right.jpg,Owner's Manual,https://www.danby.com/en-us/products/entertaining-en-us/dwc93blsdb/
Danby,,https://www.danby.com/wp-content/uploads/2016/03/DWC93BLSDB-DWC93BLDBR1-Energy-Card-1.pdf,,DWC93BLSDB,,Wine Cooler,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc93blsdb_right.jpg,Energy Guide,https://www.danby.com/en-us/products/entertaining-en-us/dwc93blsdb/
Danby,,https://www.danby.com/en-us/products/entertaining-en-us/dwc93blsdb/?o=pdf,,DWC93BLSDB,,Wine Cooler,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc93blsdb_right.jpg,Product Specifications,https://www.danby.com/en-us/products/entertaining-en-us/dwc93blsdb/
Danby,,https://www.danby.com/wp-content/uploads/2016/04/DWC1233BL-SC_EFOM_web.pdf,,DWC1233BL-SC,,Wine Cooler,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc1233.jpg,Owner's Manual,https://www.danby.com/en-us/products/entertaining-en-us/dwc1233bl-sc/
Danby,,https://www.danby.com/wp-content/uploads/2019/03/DR201WGLP_DR241WGLP_20140605.pdf,,DR241WGLP,,Range,en,Kitchen,danby.com,https://www.danby.com/wp-content/uploads/2016/04/DR241WGLP_Right.jpg,Owner's Manual,https://www.danby.com/en-us/products/kitchen-en-us/dr241wglp/
Danby,,https://www.danby.com/en-us/products/entertaining-en-us/dwc1233bl-sc/?o=pdf,,DWC1233BL-SC,,Wine Cooler,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc1233.jpg,Product Specifications,https://www.danby.com/en-us/products/entertaining-en-us/dwc1233bl-sc/
Danby,,https://www.danby.com/en-us/products/kitchen-en-us/dr241wglp/?o=pdf,,DR241WGLP,,Range,en,Kitchen,danby.com,https://www.danby.com/wp-content/uploads/2016/04/DR241WGLP_Right.jpg,Product Specifications,https://www.danby.com/en-us/products/kitchen-en-us/dr241wglp/
Danby,,https://www.danby.com/wp-content/uploads/2016/04/DWC620_EFOM1.pdf,,DWC620PL-SC,,Wine Cooler,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc620pl-sc.jpg,Owner's Manual,https://www.danby.com/en-us/products/entertaining-en-us/dwc620pl-sc-2/
Danby,,https://www.danby.com/en-us/products/entertaining-en-us/dwc620pl-sc-2/?o=pdf,,DWC620PL-SC,,Wine Cooler,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2016/04/proMed-dwc620pl-sc.jpg,Product Specifications,https://www.danby.com/en-us/products/entertaining-en-us/dwc620pl-sc-2/
Danby,,https://www.danby.com/wp-content/uploads/2017/03/DPA140HCB1WDD_EFSOM_20180122.pdf,,DPA140HCB1WDD,,Portable Air Conditioners,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2016/02/Large_DPA140HB1WDD9-606x758.jpg,Owner's Manual,https://www.danby.com/en-us/products/portable-air-conditioners-en-us/dpa140hcb1wdd/
Danby,,https://www.danby.com/en-us/products/portable-air-conditioners-en-us/dpa140hcb1wdd/?o=pdf,,DPA140HCB1WDD,,Portable Air Conditioners,en,Climate Control,danby.com,https://www.danby.com/wp-content/uploads/2016/02/Large_DPA140HB1WDD9-606x758.jpg,Product Specifications,https://www.danby.com/en-us/products/portable-air-conditioners-en-us/dpa140hcb1wdd/
Danby,,https://www.danby.com/wp-content/uploads/2016/04/DWC172BL_EFSOM_20180626.pdf,,DWC172BL,,Wine Cooler,en,Entertaining,danby.com,https://www.danby.com/wp-content/uploads/2016/04/Large_DWC172BL4-606x758.jpg,Owner's Manual,https://www.danby.com/en-us/products/entertaining-en-us/dwc172bl/
